date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,36.15,36.21,35.34,35.96,409000.0,35.213,100.0,440300.0
1999-11-02,36.27,36.52,35.78,36.34,440300.0,35.213,100.0,440300.0
1999-11-03,36.58,36.58,35.78,35.9,431000.0,35.213,44.5045045045044,9300.0
1999-11-04,35.96,36.27,35.72,35.9,316700.0,35.213,44.5045045045044,9300.0
1999-11-05,36.52,36.65,36.34,36.52,249200.0,35.213,70.89774626940766,258500.0
1999-11-08,36.58,36.71,36.46,36.65,304200.0,35.213,73.72000383708524,562700.0
1999-11-09,36.65,36.83,35.53,35.65,170600.0,35.213,40.879201513776536,392100.0
1999-11-10,35.1,35.53,34.91,35.34,189400.0,35.213,35.58668394876997,202700.0
1999-11-11,35.1,35.22,34.6,34.97,212000.0,35.213,30.50953197853711,-9300.0
1999-11-12,35.16,36.34,35.03,36.34,229000.0,35.213,55.707531121656466,219700.0
1999-11-15,36.03,36.27,35.53,36.27,239400.0,35.213,54.617756147372894,-19700.0
1999-11-16,36.21,36.65,36.03,36.4,267600.0,35.213,56.32647708175305,247900.0
1999-11-17,36.15,36.4,35.22,35.28,216300.0,35.213,41.74381863922855,31600.0
1999-11-18,34.72,35.41,34.66,35.22,344600.0,35.213,41.12949754297515,-313000.0
1999-11-19,35.22,35.22,34.6,34.91,232000.0,35.213,38.01655476192277,-545000.0
1999-11-22,34.29,34.41,33.98,33.98,207600.0,35.213,30.547034253763357,-752600.0
1999-11-23,33.42,33.92,33.42,33.42,287300.0,35.213,27.094832281386104,-1039900.0
1999-11-24,34.1,34.1,33.48,33.55,251500.0,35.213,29.098037349305145,-788400.0
1999-11-26,33.36,33.73,33.24,33.48,84100.0,35.213,28.641680095900824,-872500.0
1999-11-29,32.99,32.99,31.87,32.18,369000.0,35.213,21.802817526861347,-1241500.0
1999-11-30,32.12,32.62,31.87,32.0,801100.0,35.015,21.05323732220411,-2042600.0
1999-12-01,31.93,32.55,31.81,32.43,473100.0,34.819500000000005,27.468477446639156,-1569500.0
1999-12-02,32.31,32.62,32.0,32.06,310900.0,34.6275,25.544936769301174,-1880400.0
1999-12-03,32.0,33.92,32.0,33.05,461800.0,34.485,38.04617582507173,-1418600.0
1999-12-06,33.11,33.17,32.06,32.24,471200.0,34.271,33.142924459877236,-1889800.0
1999-12-07,32.12,32.12,30.63,30.88,308600.0,33.9825,26.87925364211003,-2198400.0
1999-12-08,31.62,31.62,30.01,30.2,301700.0,33.71,24.396569090735227,-2500100.0
1999-12-09,30.2,30.94,30.07,30.26,385800.0,33.456,25.05434477981038,-2114300.0
