date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,32.0,32.25,31.25,31.63,968200.0,,,
1999-11-02,31.5,33.0,31.38,32.69,883800.0,33.048,100.0,883800.0
1999-11-03,33.0,33.0,31.63,32.0,976200.0,33.048,58.7883959044369,-92400.0
1999-11-04,31.94,33.63,31.75,33.06,821200.0,33.048,75.49562909772095,728800.0
1999-11-05,35.0,36.25,34.75,36.06,2723000.0,33.048,89.0391184780157,3451800.0
1999-11-08,36.0,36.25,35.75,35.81,1480300.0,33.048,84.83139620936215,1971500.0
1999-11-09,35.75,35.81,34.38,35.06,646700.0,33.048,73.59514773911317,1324800.0
1999-11-10,34.25,34.94,33.31,34.31,1155000.0,33.048,64.4078423382569,169800.0
1999-11-11,33.81,33.88,32.75,33.56,432400.0,33.048,56.7750851112918,-262600.0
1999-11-12,33.56,34.44,33.38,34.25,784700.0,33.048,61.3169659826327,522100.0
1999-11-15,34.31,34.63,33.56,33.63,391900.0,33.048,55.6577706873418,130200.0
1999-11-16,33.88,34.94,33.81,34.75,529900.0,33.048,62.40749858286192,660100.0
1999-11-17,34.38,34.44,33.5,33.69,687000.0,33.048,54.025625650953046,-26900.0
1999-11-18,33.69,33.88,32.75,32.88,483900.0,33.048,48.64864044086775,-510800.0
1999-11-19,32.94,33.31,32.63,32.75,323600.0,33.048,47.82593285179183,-834400.0
1999-11-22,32.5,33.0,31.13,31.38,888800.0,33.048,40.124874992566816,-1723200.0
1999-11-23,31.63,31.81,30.75,31.13,653700.0,33.048,38.89411064623693,-2376900.0
1999-11-24,31.25,31.31,30.75,30.88,366900.0,33.048,37.65041069948766,-2743800.0
1999-11-26,30.94,31.44,30.75,31.25,224100.0,33.048,40.67400289309207,-2519700.0
1999-11-29,31.5,31.5,29.75,30.19,423800.0,33.048,35.38050790743951,-2943500.0
1999-11-30,30.0,31.0,30.0,30.19,918400.0,32.976,35.38050790743951,-2943500.0
1999-12-01,30.44,31.25,30.25,30.94,588300.0,32.8885,41.6156558394438,-2355200.0
1999-12-02,31.0,31.5,31.0,31.5,482300.0,32.8635,45.8194197770473,-1872900.0
1999-12-03,32.0,32.94,31.63,31.75,727500.0,32.798,47.63219093885738,-1145400.0
1999-12-06,31.88,31.88,30.75,31.0,423900.0,32.545,42.98565965069345,-1569300.0
1999-12-07,30.38,31.19,30.38,30.5,454200.0,32.2795,40.172159696277845,-2023500.0
1999-12-08,30.5,31.19,30.38,30.75,538800.0,32.064,42.20891498527904,-1484700.0
1999-12-09,30.81,30.88,30.19,30.69,501600.0,31.883,41.84075972197878,-1986300.0
1999-12-10,30.69,31.75,30.69,31.5,363000.0,31.78,48.38582880846174,-1623300.0
1999-12-13,31.5,32.19,31.13,31.73,734400.0,31.654,50.1029382769043,-888900.0
1999-12-14,31.5,32.13,31.31,32.13,680300.0,31.579,53.029584742388295,-208600.0
1999-12-15,31.94,32.63,31.94,32.25,792000.0,31.454,53.90310484494361,583400.0
1999-12-16,32.0,32.94,32.0,32.5,627800.0,31.3945,55.749440744647416,1211200.0
1999-12-17,33.06,33.13,32.81,33.06,953900.0,31.4035,59.64826741306362,2165100.0
1999-12-20,32.75,32.88,32.0,32.06,739500.0,31.369,51.00590833616884,1425600.0
1999-12-21,32.5,33.19,32.5,33.0,952600.0,31.45,57.27279064617712,2378200.0
1999-12-22,32.88,33.38,32.88,33.19,457700.0,31.553000000000004,58.43022387091188,2835900.0
1999-12-23,33.5,33.94,33.5,33.75,219600.0,31.696500000000004,61.72150779263354,3055500.0
