date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,19.38,20.0,19.13,20.0,13000.0,18.5265,0.0,-5800.0
1999-11-02,19.0,19.75,19.0,19.75,5800.0,18.5265,0.0,-5800.0
1999-11-03,19.75,20.88,19.75,20.88,15200.0,18.5265,82.95752490823281,9400.0
1999-11-04,20.69,20.88,19.5,19.88,33500.0,18.5265,46.32921087607846,-24100.0
1999-11-05,19.56,19.75,19.0,19.0,11000.0,18.5265,32.662191300523475,-35100.0
1999-11-08,19.38,19.38,19.03,19.06,29900.0,18.5265,34.08985025448153,-5200.0
1999-11-09,19.06,19.25,17.41,17.88,16200.0,18.5265,23.52588600895598,-21400.0
1999-11-10,17.88,18.31,17.25,18.0,27900.0,18.5265,26.036070976299555,6500.0
1999-11-11,18.5,18.5,18.13,18.19,1600.0,18.5265,29.956350846877854,8100.0
1999-11-12,17.88,18.25,17.88,18.0,7900.0,18.5265,28.33878133405173,200.0
1999-11-15,18.75,19.5,18.75,19.5,7600.0,18.5265,50.88631010651704,7800.0
1999-11-16,18.75,19.75,18.75,19.25,8000.0,18.5265,48.1661757293142,-200.0
1999-11-17,19.13,19.5,17.75,18.56,14600.0,18.5265,41.5625119701254,-14800.0
1999-11-18,18.56,18.56,18.13,18.38,15500.0,18.5265,40.02102762045281,-30300.0
1999-11-19,18.38,18.38,17.88,17.88,56900.0,18.5265,36.02421290781912,-87200.0
1999-11-22,17.88,18.13,17.0,17.44,137500.0,18.5265,32.9095236096704,-224700.0
1999-11-23,17.25,18.0,17.13,17.19,6100.0,18.5265,31.255944877739722,-230800.0
1999-11-24,17.19,17.25,17.0,17.19,124300.0,18.5265,31.255944877739722,-230800.0
1999-11-26,17.0,17.25,17.0,17.25,66100.0,18.5265,32.20411706454264,-164700.0
1999-11-29,17.38,17.56,17.25,17.25,43500.0,18.5265,32.20411706454264,-164700.0
1999-11-30,17.25,17.56,16.75,16.94,34900.0,18.3735,29.745697350644747,-199600.0
1999-12-01,17.0,17.25,16.75,16.88,23200.0,18.23,29.279803444374622,-222800.0
1999-12-02,16.88,17.13,14.0,15.31,105800.0,17.951500000000003,20.313968560695585,-328600.0
1999-12-03,15.63,16.88,15.44,15.75,97900.0,17.745,27.055418644079253,-230700.0
1999-12-06,16.0,16.13,15.25,15.25,39900.0,17.5575,24.517120683691957,-270600.0
1999-12-07,13.13,14.13,12.75,13.81,378200.0,17.294999999999998,18.991069169770412,-648800.0
1999-12-08,13.75,14.13,13.75,13.88,40100.0,17.095000000000002,19.93579134817081,-608700.0
1999-12-09,13.88,14.5,13.88,14.0,90800.0,16.895000000000003,21.6232241773248,-517900.0
1999-12-10,14.69,14.69,14.0,14.25,10100.0,16.698,25.16200502522433,-507800.0
1999-12-13,14.69,14.69,14.13,14.38,22600.0,16.517000000000003,27.00758153789917,-485200.0
1999-12-14,14.56,14.56,14.0,14.25,39800.0,16.2545,26.308871763885875,-525000.0
1999-12-15,14.38,14.38,13.81,13.84,25200.0,15.984,24.18385733824921,-550200.0
1999-12-16,14.25,14.38,14.13,14.25,30200.0,15.7685,30.250975842399185,-520000.0
1999-12-17,14.38,14.5,14.0,14.13,21800.0,15.556000000000001,29.50671741140839,-541800.0
1999-12-20,14.25,14.38,14.19,14.31,39600.0,15.377500000000001,32.201241425827135,-502200.0
1999-12-21,14.31,14.31,13.88,14.25,109900.0,15.218,31.765376661034338,-612100.0
1999-12-22,14.31,14.38,14.06,14.31,102000.0,15.074000000000002,32.74573236130573,-510100.0
1999-12-23,14.13,14.75,14.13,14.63,25000.0,14.946000000000002,37.87252764281302,-485100.0
1999-12-27,14.88,15.0,14.5,14.88,59000.0,14.8275,41.616972617180544,-426100.0
1999-12-28,14.94,15.25,14.0,14.0,21600.0,14.665000000000001,33.877048819345475,-447700.0
1999-12-29,14.0,15.25,14.0,15.25,6200.0,14.5805,48.522314028316146,-441500.0
1999-12-30,15.0,16.0,15.0,15.75,18100.0,14.523999999999997,53.00597089044131,-423400.0
1999-12-31,16.0,16.25,15.0,16.0,18300.0,14.558499999999999,55.11123087953524,-405100.0
2000-01-03,16.06,16.25,15.88,15.88,8200.0,14.564999999999998,53.86388569233097,-413300.0
2000-01-04,15.75,16.13,15.38,15.53,4200.0,14.578999999999999,50.288778149658704,-417500.0
2000-01-05,16.0,16.0,15.63,15.63,8100.0,14.669999999999998,51.28368517582709,-409400.0
2000-01-06,15.63,15.63,15.38,15.38,11800.0,14.745,48.661643874435214,-421200.0
2000-01-07,15.38,15.75,15.0,15.75,7300.0,14.8325,52.52999575317425,-413900.0
2000-01-10,15.0,15.75,15.0,15.0,1200.0,14.87,45.110038044759605,-415100.0
2000-01-11,15.75,16.0,15.13,15.13,5400.0,14.907499999999999,46.520141845694276,-409700.0
2000-01-12,15.5,16.0,15.5,16.0,3800.0,14.995,54.8749492100478,-405900.0
2000-01-13,16.0,16.25,15.75,15.75,9800.0,15.0905,52.34436069024811,-415700.0
2000-01-14,15.81,16.25,15.81,16.25,21300.0,15.1905,56.650122088571585,-394400.0
2000-01-18,16.13,16.25,15.94,16.06,9800.0,15.287,54.63019052750416,-404200.0
2000-01-19,16.06,16.06,15.19,15.34,15100.0,15.338500000000002,47.69062337149304,-419300.0
2000-01-20,15.19,16.13,15.19,15.75,18800.0,15.413500000000003,51.471016022607905,-400500.0
2000-01-21,15.69,15.75,15.19,15.25,17200.0,15.460500000000001,47.00920564493916,-417700.0
2000-01-24,15.25,15.75,14.81,14.81,20400.0,15.469500000000002,43.44050143417721,-438100.0
2000-01-25,15.63,15.63,14.63,14.63,161700.0,15.457000000000003,42.03464949872343,-599800.0
2000-01-26,14.88,15.0,14.88,15.0,14600.0,15.507000000000001,45.909705654876284,-585200.0
2000-01-27,15.34,17.5,15.19,17.06,51100.0,15.597500000000002,61.386954638570764,-534100.0
2000-01-28,17.25,17.25,16.13,16.5,31500.0,15.635000000000002,56.642136808210886,-565600.0
2000-01-31,16.88,18.75,16.75,18.0,61400.0,15.735000000000003,64.54685120197661,-504200.0
2000-02-01,17.38,17.75,17.38,17.63,6100.0,15.822500000000002,61.565252925559264,-510300.0
2000-02-02,17.69,17.75,15.19,16.13,67100.0,15.852500000000001,51.23293972378908,-577400.0
2000-02-03,16.0,16.25,15.56,15.88,35800.0,15.865,49.73478866935532,-613200.0
2000-02-04,16.25,16.25,16.06,16.25,24300.0,15.9085,51.973182675835126,-588900.0
2000-02-07,16.25,17.13,15.88,17.13,7900.0,15.977500000000001,56.8902906777072,-581000.0
2000-02-08,16.81,17.63,16.38,17.19,4700.0,16.087,57.21195408263468,-576300.0
2000-02-09,17.63,17.63,16.75,17.13,9200.0,16.187,56.755893842730934,-585500.0
2000-02-10,18.06,18.25,17.5,17.5,28400.0,16.262,58.93006914816157,-557100.0
2000-02-11,17.5,18.5,17.31,17.75,20700.0,16.362000000000002,60.379542025132,-536400.0
2000-02-14,18.0,18.0,16.5,16.75,13800.0,16.387,52.41140811634926,-550200.0
2000-02-15,16.63,17.25,16.63,16.63,62900.0,16.4155,51.53255874609939,-613100.0
2000-02-16,16.75,17.25,16.69,16.72,127600.0,16.4845,52.18021149878465,-485500.0
2000-02-17,16.5,17.0,16.38,16.75,41400.0,16.5345,52.40850047510709,-444100.0
2000-02-18,16.38,17.38,16.38,16.5,49600.0,16.597,50.255403973052346,-493700.0
2000-02-22,16.38,16.69,16.38,16.5,12600.0,16.6815,50.255403973052346,-493700.0
2000-02-23,16.5,16.56,16.13,16.25,12800.0,16.7625,47.96980977631711,-506500.0
2000-02-24,16.0,16.75,16.0,16.38,29800.0,16.8315,49.26203271885094,-476700.0
2000-02-25,16.63,16.88,16.25,16.88,23400.0,16.822499999999998,53.99465319096734,-453300.0
2000-02-28,17.38,17.75,16.5,17.38,7600.0,16.8665,58.19408936749076,-445700.0
2000-02-29,17.38,18.0,17.38,18.0,15300.0,16.8665,62.736372249912286,-430400.0
2000-03-01,18.0,19.5,17.75,18.88,20600.0,16.929,68.04362388720132,-409800.0
2000-03-02,18.38,18.88,18.0,18.0,3000.0,17.0225,58.99496569640183,-412800.0
2000-03-03,18.88,19.0,17.75,17.75,19200.0,17.116,56.68856770061232,-432000.0
