date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,29.44,30.25,29.44,30.06,72000.0,32.0915,100.0,106400.0
1999-11-02,30.13,30.63,30.06,30.38,106400.0,32.0915,100.0,106400.0
1999-11-03,30.5,30.69,29.88,30.0,142700.0,32.0915,43.88185654008448,-36300.0
1999-11-04,30.0,30.19,29.75,30.0,219300.0,32.0915,43.88185654008448,-36300.0
1999-11-05,30.0,30.44,29.81,30.0,105800.0,32.0915,43.88185654008447,-36300.0
1999-11-08,30.0,30.0,29.75,29.88,273300.0,32.0915,35.929345202433595,-309600.0
1999-11-09,29.81,31.19,29.75,30.81,216000.0,32.0915,74.49960616879142,-93600.0
1999-11-10,31.06,31.88,31.06,31.81,128600.0,32.0915,84.9741369293454,35000.0
1999-11-11,31.81,32.38,31.81,32.25,158900.0,32.0915,87.42223364646841,193900.0
1999-11-12,32.38,33.13,32.25,32.44,100500.0,32.0915,88.30808414451243,294400.0
1999-11-15,32.44,33.38,32.44,32.88,181500.0,32.0915,90.05490923321037,475900.0
1999-11-16,32.69,33.13,32.69,33.0,169700.0,32.0915,90.47296549308156,645600.0
1999-11-17,33.0,34.38,32.81,33.75,239100.0,32.0915,92.5740469105905,884700.0
1999-11-18,33.75,35.5,33.63,34.5,282900.0,32.0915,93.99924630230831,1167600.0
1999-11-19,34.31,35.0,34.31,34.63,172700.0,32.0915,94.20678996346629,1340300.0
1999-11-22,34.69,35.31,34.56,34.56,126800.0,32.0915,92.35453290090527,1213500.0
1999-11-23,34.56,34.75,32.19,32.63,218800.0,32.0915,58.3120456623884,994700.0
1999-11-24,32.63,33.0,32.44,32.75,244800.0,32.0915,59.31618359494775,1239500.0
1999-11-26,32.63,32.63,32.5,32.56,51900.0,32.0915,56.9760939249275,1187600.0
1999-11-29,32.56,33.13,32.5,32.94,101300.0,32.0915,60.34559368665877,1288900.0
1999-11-30,33.13,33.5,32.88,32.94,125500.0,32.2355,60.34559368665877,1288900.0
1999-12-01,33.06,33.44,32.94,32.94,89700.0,32.3635,60.34559368665877,1288900.0
1999-12-02,33.06,33.81,33.06,33.25,68400.0,32.525999999999996,63.27606172675789,1357300.0
1999-12-03,33.0,33.63,33.0,33.31,78600.0,32.6915,63.833158142351046,1435900.0
1999-12-06,33.13,33.13,32.31,32.5,82200.0,32.8165,52.298846582934715,1353700.0
1999-12-07,32.56,33.56,32.56,33.56,213200.0,33.0005,61.980637626550234,1566900.0
1999-12-08,33.63,34.5,33.63,34.38,198700.0,33.179,67.4795417979679,1765600.0
1999-12-09,34.38,34.75,34.38,34.5,122400.0,33.313500000000005,68.20429779915456,1888000.0
1999-12-10,34.56,35.31,34.56,35.19,108100.0,33.460499999999996,72.06008277915683,1996100.0
1999-12-13,35.13,35.13,33.94,33.94,180600.0,33.5355,58.27338543769813,1815500.0
1999-12-14,34.0,34.0,33.63,33.63,65700.0,33.573,55.44050015137488,1749800.0
1999-12-15,33.88,33.88,33.25,33.25,83300.0,33.5855,52.09716860523207,1666500.0
1999-12-16,33.0,33.75,32.38,33.38,372600.0,33.567,53.138321675580265,2039100.0
1999-12-17,33.38,33.44,32.88,33.19,107500.0,33.5015,51.38061019323699,1931600.0
1999-12-20,33.19,33.88,33.0,33.69,117400.0,33.4545,55.547719470758025,2049000.0
1999-12-21,33.75,33.81,32.94,33.19,155000.0,33.385999999999996,50.85382132301967,1894000.0
1999-12-22,34.75,34.75,34.31,34.5,53700.0,33.479499999999994,60.31560767277983,1947700.0
1999-12-23,34.38,35.31,34.19,34.81,66400.0,33.582499999999996,62.17160105822869,2014100.0
1999-12-27,34.75,36.5,34.5,36.5,112400.0,33.7795,70.32085379469295,2126500.0
1999-12-28,36.38,36.38,35.19,35.36,123800.0,33.9005,60.80511010165366,2002700.0
1999-12-29,35.56,36.38,35.5,36.31,63800.0,34.069,65.04950138509308,2066500.0
1999-12-30,36.25,36.94,36.19,36.19,71400.0,34.2315,64.10517659628503,1995100.0
1999-12-31,36.19,36.19,35.88,36.0,32900.0,34.369,62.55668733020705,1962200.0
2000-01-03,37.25,37.25,37.25,37.25,133800.0,34.566,68.02837074820184,2096000.0
2000-01-04,37.06,37.06,36.19,36.5,72700.0,34.766000000000005,62.15906042295928,2023300.0
2000-01-05,36.63,37.69,36.63,37.63,133000.0,34.9695,66.80591956335648,2156300.0
2000-01-06,37.88,40.94,37.81,40.81,269600.0,35.291,75.8089040322845,2425900.0
2000-01-07,41.0,45.0,41.0,44.19,363100.0,35.7755,81.5399409741787,2789000.0
2000-01-10,44.63,47.0,44.63,46.31,308400.0,36.3315,84.0864669877082,3097400.0
2000-01-11,46.19,46.19,44.5,44.5,275100.0,36.8595,74.62174562169616,2822300.0
2000-01-12,44.56,44.69,44.0,44.31,90100.0,37.3935,73.68415011804608,2732200.0
2000-01-13,44.25,46.0,44.25,46.0,139200.0,38.031,76.51117244403066,2871400.0
2000-01-14,46.0,46.69,45.38,45.81,214700.0,38.652499999999996,75.52880037838017,2656700.0
2000-01-18,46.06,46.5,45.63,45.75,57600.0,39.2805,75.20043765542461,2599100.0
2000-01-19,45.63,45.69,43.5,44.56,195700.0,39.824,68.81077264234764,2403400.0
2000-01-20,48.0,48.56,47.5,48.0,305200.0,40.5645,75.33507032443106,2708600.0
2000-01-21,48.06,49.13,47.88,48.0,420900.0,41.23950000000001,75.33507032443106,2708600.0
2000-01-24,47.88,48.19,47.75,48.0,277600.0,41.899,75.33507032443106,2708600.0
2000-01-25,48.06,49.0,47.38,47.44,249600.0,42.446,72.26165881416159,2459000.0
2000-01-26,47.44,47.94,46.56,46.56,193800.0,43.006,67.5948857527807,2265200.0
2000-01-27,46.56,47.5,46.0,46.0,203300.0,43.490500000000004,64.73001836366258,2061900.0
2000-01-28,46.0,46.56,44.75,45.0,131700.0,43.931,59.85176550615501,1930200.0
2000-01-31,45.13,45.56,44.25,44.69,94400.0,44.3655,58.382871673534,1835800.0
