date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,18.75,20.0,18.63,19.75,382200.0,16.5135,0.0,-445900.0
1999-11-02,19.94,20.13,18.38,18.56,445900.0,16.5135,0.0,-445900.0
1999-11-03,18.88,19.13,18.38,18.38,455100.0,16.5135,0.0,-901000.0
1999-11-04,18.5,18.56,18.0,18.13,373500.0,16.5135,0.0,-1274500.0
1999-11-05,18.0,18.31,17.5,17.56,724900.0,16.5135,0.0,-1999400.0
1999-11-08,17.63,17.63,16.63,16.94,565200.0,16.5135,0.0,-2564600.0
1999-11-09,17.13,17.25,16.5,16.5,393200.0,16.5135,0.0,-2957800.0
1999-11-10,16.56,16.88,16.5,16.69,351800.0,16.5135,7.136101172552472,-2606000.0
1999-11-11,16.75,16.94,16.5,16.5,277600.0,16.5135,6.626827366716327,-2883600.0
1999-11-12,16.63,16.63,15.94,16.25,221800.0,16.5135,6.018229816905389,-3105400.0
1999-11-15,16.44,17.0,15.94,16.0,448400.0,16.5135,5.476579930464965,-3553800.0
1999-11-16,16.0,16.25,14.69,15.13,483200.0,16.5135,4.095257580981709,-4037000.0
1999-11-17,15.13,15.44,14.75,15.06,625100.0,16.5135,4.007670295962086,-4662100.0
1999-11-18,15.19,16.19,15.13,15.63,732600.0,16.5135,19.167882973997266,-3929500.0
1999-11-19,15.69,16.0,15.25,15.56,289900.0,16.5135,18.77571412477016,-4219400.0
1999-11-22,15.31,15.88,15.06,15.25,411400.0,16.5135,17.10651263279543,-4630800.0
1999-11-23,15.25,15.25,14.31,14.69,534600.0,16.5135,14.584165275232706,-5165400.0
1999-11-24,14.69,15.94,14.69,15.81,735100.0,16.5135,35.17236126184899,-4430300.0
1999-11-26,15.81,15.94,15.63,15.69,83000.0,16.5135,34.22062685118969,-4513300.0
1999-11-29,15.75,16.63,15.75,16.19,429300.0,16.5135,41.34274865116885,-4084000.0
1999-11-30,16.25,18.0,16.25,17.25,523700.0,16.3885,52.968671934324725,-3560300.0
1999-12-01,17.75,18.88,17.63,18.81,653900.0,16.401,64.21104866094265,-2906400.0
1999-12-02,19.0,19.44,18.75,19.06,473300.0,16.435,65.62900572604909,-2433100.0
1999-12-03,19.5,19.88,19.0,19.5,632600.0,16.5035,68.0298095917291,-1800500.0
1999-12-06,19.75,19.94,19.0,19.13,650300.0,16.582,63.982560509446714,-2450800.0
