date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,5.0,5.375,4.938,5.188,299700.0,4.72835,0.0,-64300.0
1999-11-02,5.125,5.188,5.0,5.125,64300.0,4.72835,0.0,-64300.0
1999-11-03,5.063,5.125,5.0,5.125,61600.0,4.72835,0.0,-64300.0
1999-11-04,5.063,5.125,5.063,5.063,54000.0,4.72835,0.0,-118300.0
1999-11-05,5.063,5.125,5.063,5.063,41600.0,4.72835,0.0,-118300.0
1999-11-08,5.063,5.125,5.063,5.125,79800.0,4.72835,38.20143731425907,-38500.0
1999-11-09,5.063,5.125,5.0,5.063,153900.0,4.72835,27.06634176411127,-192400.0
1999-11-10,5.0,5.063,5.0,5.063,96700.0,4.72835,27.06634176411127,-192400.0
1999-11-11,4.938,5.063,4.875,4.875,50100.0,4.72835,13.36569113110231,-242500.0
1999-11-12,4.875,4.875,4.75,4.813,28500.0,4.72835,11.329013678848867,-271000.0
1999-11-15,4.875,5.0,4.875,4.938,43400.0,4.72835,33.37276992439472,-227600.0
1999-11-16,4.875,4.938,4.625,4.625,149200.0,4.72835,19.97911112619181,-376800.0
1999-11-17,4.688,4.688,4.5,4.5,53400.0,4.72835,17.03820492593006,-430200.0
1999-11-18,4.375,4.563,4.375,4.5,42100.0,4.72835,17.03820492593006,-430200.0
1999-11-19,4.438,4.5,4.25,4.313,125900.0,4.72835,13.5720280582471,-556100.0
1999-11-22,4.313,4.313,4.125,4.188,40600.0,4.72835,11.83834061584811,-596700.0
1999-11-23,3.938,4.125,3.938,4.125,45900.0,4.72835,11.070768740610916,-642600.0
1999-11-24,4.0,4.25,4.0,4.125,59300.0,4.72835,11.070768740610916,-642600.0
1999-11-26,4.125,4.313,4.125,4.25,18900.0,4.72835,22.616360649769447,-623700.0
1999-11-29,4.25,4.5,4.25,4.5,53100.0,4.72835,39.526629689591836,-570600.0
1999-11-30,4.375,4.938,4.25,4.938,102500.0,4.71585,57.18112780627422,-468100.0
1999-12-01,4.875,4.875,4.5,4.75,122200.0,4.6971,50.38225072620081,-590300.0
1999-12-02,4.688,4.75,4.5,4.5,144600.0,4.66585,43.051627633585746,-734900.0
1999-12-03,4.563,4.625,4.188,4.188,69900.0,4.6221,36.00982829918038,-804800.0
1999-12-06,4.25,4.438,4.188,4.375,68600.0,4.5877,42.120520169667564,-736200.0
1999-12-07,4.25,4.313,4.188,4.25,44000.0,4.543950000000001,39.411261126755136,-780200.0
1999-12-08,4.25,4.375,4.188,4.25,73700.0,4.5033,39.411261126755136,-780200.0
1999-12-09,4.25,4.313,4.188,4.313,66800.0,4.4658,41.60669210043077,-713400.0
1999-12-10,4.25,4.313,4.188,4.25,51300.0,4.43455,40.04408105701535,-764700.0
1999-12-13,4.25,4.313,4.188,4.25,31000.0,4.4064,40.044081057015354,-764700.0
1999-12-14,4.25,4.375,4.188,4.188,65800.0,4.3689,38.398125041144034,-830500.0
1999-12-15,4.188,4.188,4.0,4.0,222700.0,4.33765,33.85408806662598,-1053200.0
1999-12-16,4.0,4.125,3.813,3.875,69700.0,4.3064,31.20951424633509,-1122900.0
1999-12-17,3.938,3.938,3.938,3.938,235500.0,4.2783,34.00755486378566,-887400.0
1999-12-20,3.875,3.938,3.75,3.938,94600.0,4.259549999999999,34.00755486378566,-887400.0
1999-12-21,3.813,3.875,3.688,3.75,139400.0,4.23765,29.81103435400398,-1026800.0
1999-12-22,3.75,3.875,3.75,3.75,67300.0,4.2189,29.81103435400398,-1026800.0
1999-12-23,3.813,3.875,3.75,3.75,47200.0,4.20015,29.81103435400398,-1026800.0
1999-12-27,3.75,3.938,3.75,3.813,589200.0,4.1783,33.25809777098337,-437600.0
1999-12-28,3.75,3.875,3.75,3.75,155400.0,4.1408000000000005,31.587469048745703,-593000.0
1999-12-29,3.75,3.875,3.75,3.875,362700.0,4.08765,38.21869412210327,-230300.0
1999-12-30,3.813,3.938,3.688,3.75,193400.0,4.03765,34.60627864115253,-423700.0
1999-12-31,3.75,4.313,3.75,4.188,916700.0,4.02205,51.79847639452641,493000.0
2000-01-03,4.25,4.25,4.0,4.0,17100.0,4.01265,46.18577424451294,475900.0
2000-01-04,4.0,4.0,3.938,4.0,39800.0,3.9939,46.18577424451294,475900.0
2000-01-05,3.938,4.063,3.938,4.0,30400.0,3.9814,46.18577424451295,475900.0
2000-01-06,3.938,4.125,3.938,4.0,27500.0,3.9689,46.18577424451295,475900.0
2000-01-07,3.938,4.0,3.875,3.938,84500.0,3.95015,44.067668407170274,391400.0
2000-01-10,3.938,4.125,3.938,4.0,54100.0,3.93765,46.70006194713983,445500.0
2000-01-11,3.875,3.938,3.875,3.938,52300.0,3.92205,44.44728687324848,393200.0
2000-01-12,3.875,3.938,3.875,3.875,15600.0,3.9064,42.218655122180245,377600.0
2000-01-13,3.875,4.063,3.875,3.938,31000.0,3.9032999999999993,45.17888608302431,408600.0
2000-01-14,3.938,4.0,3.938,4.0,36200.0,3.9095499999999994,48.00219737547113,444800.0
2000-01-18,4.0,4.063,3.938,4.063,20600.0,3.9158,50.77627692990836,465400.0
2000-01-19,4.0,4.063,3.938,4.063,28300.0,3.92205,50.77627692990836,465400.0
2000-01-20,4.063,4.063,4.0,4.0,32100.0,3.93455,47.81764159547015,433300.0
2000-01-21,4.0,4.0,3.938,3.938,40600.0,3.94395,45.036452106556645,392700.0
2000-01-24,3.938,4.0,3.688,3.688,104500.0,3.94085,35.95534346989045,288200.0
2000-01-25,3.75,3.75,3.438,3.5,357600.0,3.9252000000000002,30.908147166544666,-69400.0
2000-01-26,3.438,3.625,3.375,3.5,74100.0,3.9127,30.908147166544666,-69400.0
2000-01-27,3.5,3.625,3.375,3.5,108200.0,3.8939500000000002,30.908147166544666,-69400.0
2000-01-28,3.438,3.5,3.375,3.438,126200.0,3.87835,29.21873339303916,-195600.0
2000-01-31,3.5,3.75,3.375,3.625,226600.0,3.8502,39.890592996182946,31000.0
2000-02-01,3.625,3.75,3.563,3.688,91500.0,3.8345999999999996,43.008175530070524,122500.0
2000-02-02,3.625,3.813,3.625,3.75,39100.0,3.8221,45.97768380653987,161600.0
2000-02-03,3.688,3.875,3.625,3.688,175400.0,3.8064999999999998,43.53485109677743,-13800.0
2000-02-04,3.625,3.625,3.5,3.5,125700.0,3.7815,37.09832187307853,-139500.0
2000-02-07,3.75,3.813,3.563,3.688,40900.0,3.7689999999999997,45.73795880309459,-98600.0
2000-02-08,3.625,3.813,3.375,3.5,62800.0,3.7439999999999998,39.84430998965749,-161400.0
2000-02-09,3.5,3.563,3.5,3.5,60400.0,3.7220999999999997,39.84430998965749,-161400.0
2000-02-10,3.5,3.5,3.438,3.438,124800.0,3.7002499999999996,37.972836328776324,-286200.0
2000-02-11,3.375,3.438,3.188,3.25,125000.0,3.6658500000000003,32.9230972666042,-411200.0
