date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,53.75,53.75,50.44,50.56,381400.0,47.7635,0.0,-1676500.0
1999-11-02,50.56,50.56,46.38,46.81,1676500.0,47.7635,0.0,-1676500.0
1999-11-03,47.5,49.0,46.0,46.5,543800.0,47.7635,0.0,-2220300.0
1999-11-04,47.0,48.0,46.38,46.69,547800.0,47.7635,5.1195336880163325,-1672500.0
1999-11-05,46.88,47.0,37.5,45.19,2268900.0,47.7635,3.5669630785575777,-3941400.0
1999-11-08,45.38,46.94,45.13,45.44,662600.0,47.7635,8.545040538465287,-3278800.0
1999-11-09,45.63,49.0,45.63,48.0,463100.0,47.7635,41.72144033074138,-2815700.0
1999-11-10,48.75,50.5,48.63,48.81,825200.0,47.7635,48.132726344471266,-1990500.0
1999-11-11,49.0,49.5,48.38,48.5,324700.0,47.7635,46.0449696213556,-2315200.0
1999-11-12,48.25,48.5,46.38,46.56,419000.0,47.7635,35.629592419669436,-2734200.0
1999-11-15,46.81,47.13,46.63,46.94,239900.0,47.7635,38.56117584475975,-2494300.0
1999-11-16,47.06,47.13,43.63,44.94,473000.0,47.7635,30.649471187047112,-2967300.0
1999-11-17,44.5,45.88,42.38,45.38,470400.0,47.7635,33.86433716842781,-2496900.0
1999-11-18,47.0,49.94,47.0,48.88,1011200.0,47.7635,52.66259475060497,-1485700.0
1999-11-19,49.13,51.38,49.13,49.69,518500.0,47.7635,55.79417162179895,-967200.0
1999-11-22,49.44,50.0,48.0,48.5,253700.0,47.7635,50.50773370882059,-1220900.0
1999-11-23,48.75,49.38,47.75,48.5,367400.0,47.7635,50.50773370882059,-1220900.0
1999-11-24,49.5,49.75,48.5,49.5,483200.0,47.7635,54.6915791555717,-737700.0
1999-11-26,49.25,51.0,49.25,49.75,80900.0,47.7635,55.69982950650184,-656800.0
1999-11-29,49.63,50.88,49.38,50.13,190000.0,47.7635,57.25681514367863,-466800.0
1999-11-30,49.88,50.38,47.88,49.0,453500.0,47.685500000000005,51.46432839961445,-920300.0
1999-12-01,49.25,50.81,49.0,49.25,255200.0,47.8075,52.606683720537134,-665100.0
1999-12-02,49.13,50.13,49.13,49.88,127900.0,47.9765,55.45214196282335,-537200.0
1999-12-03,50.13,50.13,47.0,47.75,405400.0,48.0295,45.5046305180612,-942600.0
1999-12-06,47.75,47.88,45.81,46.75,608900.0,48.1075,41.720623036747014,-1551500.0
1999-12-07,46.81,47.38,46.31,46.5,417000.0,48.1605,40.80702322544059,-1968500.0
1999-12-08,46.5,46.5,45.75,45.94,334900.0,48.057500000000005,38.75955710858443,-2303400.0
1999-12-09,46.0,46.25,45.69,46.13,373800.0,47.923500000000004,39.86206218350561,-1929600.0
1999-12-10,46.19,46.25,45.94,46.0,242500.0,47.798500000000004,39.34020302933738,-2172100.0
1999-12-13,45.75,46.0,44.5,44.5,531500.0,47.6955,33.835883306085535,-2703600.0
1999-12-14,44.38,44.44,43.06,44.0,252300.0,47.548500000000004,32.21770957628139,-2955900.0
1999-12-15,43.25,44.0,42.88,43.5,301800.0,47.4765,30.639675170029108,-3257700.0
1999-12-16,43.75,45.38,43.5,43.94,188800.0,47.4045,33.71644463361419,-3068900.0
1999-12-17,44.25,44.25,44.25,44.25,277300.0,47.172999999999995,35.87471980530134,-2791600.0
1999-12-20,44.25,47.19,44.0,46.94,626300.0,47.0355,50.834804686921956,-2165300.0
1999-12-21,47.0,47.0,45.88,46.0,379800.0,46.9105,46.73201247177143,-2545100.0
1999-12-22,46.25,46.5,45.88,46.0,467000.0,46.7855,46.73201247177143,-2545100.0
