date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,47.0,47.19,46.31,46.88,5041900.0,46.6365,100.0,4988200.0
1999-11-02,46.69,48.06,46.5,47.38,4988200.0,46.6365,100.0,4988200.0
1999-11-03,47.19,47.31,46.13,46.13,4102200.0,46.6365,27.08333333333333,886000.0
1999-11-04,46.63,47.31,46.63,47.0,4433500.0,46.6365,52.8516952665174,5319500.0
1999-11-05,48.0,48.38,46.63,46.81,5443800.0,46.6365,48.79601773298087,-124300.0
1999-11-08,46.0,47.13,45.75,47.13,5332900.0,46.6365,55.052005293754476,5208600.0
1999-11-09,47.13,47.19,45.0,45.44,4573000.0,46.6365,32.481244187369256,635600.0
1999-11-10,44.5,45.44,44.0,44.94,4090400.0,46.6365,28.728461525963993,-3454800.0
1999-11-11,45.0,45.75,44.5,45.44,3001300.0,46.6365,36.61508896535453,-453500.0
1999-11-12,46.13,47.88,45.75,47.75,4847200.0,46.6365,59.12118436444033,4393700.0
1999-11-15,47.88,47.94,46.75,47.25,3201300.0,46.6365,54.601947434416516,1192400.0
1999-11-16,47.06,48.25,47.06,48.13,3096500.0,46.6365,60.34701593999302,4288900.0
1999-11-17,48.0,48.0,47.0,47.13,2588200.0,46.6365,52.25449786152714,1700700.0
1999-11-18,47.69,48.06,47.19,47.94,3537900.0,46.6365,57.25468339075365,5238600.0
1999-11-19,47.94,48.13,47.5,47.5,3359300.0,46.6365,53.949515367176616,1879300.0
1999-11-22,46.81,47.94,46.56,46.81,3446500.0,46.6365,49.15714600485284,-1567200.0
1999-11-23,47.0,47.25,45.81,46.13,3117300.0,46.6365,44.92201838347669,-4684500.0
1999-11-24,46.0,46.63,46.0,46.0,2324700.0,46.6365,44.13908946529865,-7009200.0
1999-11-26,46.25,46.31,45.94,45.94,1040200.0,46.6365,43.7600075701949,-8049400.0
1999-11-29,45.63,45.81,45.0,45.0,3103800.0,46.6365,38.2216566881763,-11153200.0
1999-11-30,45.0,46.94,45.0,46.5,4779900.0,46.6175,49.25786530180096,-6373300.0
1999-12-01,46.38,47.06,46.25,46.88,3343900.0,46.5925,51.615968030221325,-3029400.0
1999-12-02,46.63,47.5,46.63,47.06,3079800.0,46.638999999999996,52.73642239096029,50400.0
1999-12-03,47.75,48.63,47.19,47.19,4833700.0,46.6485,53.572644398881756,4884100.0
1999-12-06,47.44,47.63,45.44,45.75,4232700.0,46.5955,44.23628659577069,651400.0
1999-12-07,45.0,45.56,43.94,44.06,6214400.0,46.44199999999999,36.251410099467684,-5563000.0
1999-12-08,43.56,44.0,43.44,43.7,5712500.0,46.355000000000004,34.8099793409277,-11275500.0
1999-12-09,43.56,45.0,43.56,44.75,4040600.0,46.3455,42.047836625845214,-7234900.0
1999-12-10,45.44,45.5,44.88,44.88,3576900.0,46.3175,42.89322307650158,-3658000.0
1999-12-13,44.25,44.56,43.88,44.2,2733700.0,46.14,39.63615114744099,-6391700.0
1999-12-14,43.88,44.31,43.06,43.5,2969300.0,45.9525,36.558621203625705,-9361000.0
1999-12-15,43.06,43.44,41.63,41.81,4565100.0,45.6365,30.417970506687254,-13926100.0
1999-12-16,38.56,40.63,38.5,39.44,8570100.0,45.252,24.263119461145052,-22496200.0
1999-12-17,39.94,39.94,39.94,39.94,6781800.0,44.852,27.591868065898325,-15714400.0
1999-12-20,39.94,40.94,39.88,40.66,3656700.0,44.510000000000005,32.2121912520315,-12057700.0
1999-12-21,40.31,41.31,39.5,40.0,5215700.0,44.169500000000006,30.30334187838824,-17273400.0
1999-12-22,40.0,40.69,40.0,40.44,2767100.0,43.885000000000005,33.147554841991536,-14506300.0
1999-12-23,40.81,41.56,40.31,41.5,2716100.0,43.660000000000004,39.547847039448655,-11790200.0
1999-12-27,41.06,42.0,40.81,40.88,2540600.0,43.407,37.29855903698695,-14330800.0
1999-12-28,41.13,41.44,40.75,41.19,2488200.0,43.2165,39.161734401697,-11842600.0
1999-12-29,41.25,41.44,40.25,40.56,2203000.0,42.9195,36.77041140892597,-14045600.0
1999-12-30,40.63,41.13,40.5,40.63,1328800.0,42.607,37.22905692235602,-12716800.0
1999-12-31,40.56,40.63,40.13,40.44,1178400.0,42.275999999999996,36.45607916628799,-13895200.0
2000-01-03,40.31,40.38,38.0,39.12,4518500.0,41.8725,31.554350958251348,-18413700.0
2000-01-04,37.25,37.69,36.0,37.19,7618600.0,41.4445,26.041111598707857,-26032300.0
2000-01-05,37.0,37.75,36.06,37.06,4114100.0,41.0945,25.715193765659436,-30146400.0
2000-01-06,37.06,39.0,36.94,38.44,4163400.0,40.8315,35.01328133116992,-25983000.0
2000-01-07,39.25,39.69,38.56,39.13,3855600.0,40.5505,39.11670600848355,-22127400.0
2000-01-10,38.38,38.63,37.75,37.88,4476600.0,40.2005,34.82650750546871,-26604000.0
2000-01-11,37.81,38.0,37.06,37.25,3085400.0,39.852999999999994,32.869793700034705,-29689400.0
2000-01-12,37.31,38.63,37.31,38.31,3515000.0,39.5935,39.07249383721351,-26174400.0
2000-01-13,39.88,40.5,39.69,40.44,5538500.0,39.525,49.22495901418622,-20635900.0
2000-01-14,43.75,43.75,41.13,41.69,5748700.0,39.6375,54.062660216530126,-14887200.0
2000-01-18,39.75,40.25,38.5,38.88,6372000.0,39.584500000000006,43.929858335435135,-21259200.0
2000-01-19,38.38,38.94,36.5,36.75,8570300.0,39.388999999999996,38.100499664512355,-29829500.0
2000-01-20,36.81,37.31,35.81,36.38,7482600.0,39.208,37.17761111192348,-37312100.0
2000-01-21,36.5,37.63,36.06,36.63,7008300.0,39.0175,38.265709131076754,-30303800.0
