date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,37.27,37.7,36.96,37.52,1320400.0,,,
1999-11-02,37.64,37.77,37.08,37.33,1821800.0,35.057,0.0,-1821800.0
1999-11-03,36.46,36.77,35.29,35.66,3178600.0,35.057,0.0,-5000400.0
1999-11-04,36.22,36.59,35.29,35.66,2580700.0,35.057,0.0,-5000400.0
1999-11-05,35.53,36.09,34.48,34.73,2316900.0,35.057,0.0,-7317300.0
1999-11-08,33.74,35.97,33.67,35.53,2269100.0,35.057,25.46209323082377,-5048200.0
1999-11-09,35.91,36.22,34.67,34.79,1524500.0,35.057,20.310504057691816,-6572700.0
1999-11-10,34.54,34.98,34.11,34.48,1394800.0,35.057,18.61168376524836,-7967500.0
1999-11-11,34.67,35.16,34.17,34.6,1197300.0,35.057,21.35393946078679,-6770200.0
1999-11-12,36.09,36.15,34.79,35.66,1528200.0,35.057,40.44311463536244,-5242000.0
1999-11-15,35.6,36.4,35.35,35.35,1739900.0,35.057,37.57098963852358,-6981900.0
1999-11-16,35.35,36.22,34.85,36.22,2263600.0,35.057,48.60266735295384,-4718300.0
1999-11-17,36.22,36.84,35.16,35.47,1870200.0,35.057,41.75299981205563,-6588500.0
1999-11-18,35.72,35.84,34.17,35.72,3994400.0,35.057,44.557869738790416,-2594100.0
1999-11-19,35.53,35.84,34.98,35.66,1867600.0,35.057,44.01011319660392,-4461700.0
1999-11-22,35.41,35.6,33.86,33.92,1939500.0,35.057,31.8009493872339,-6401200.0
1999-11-23,33.74,33.86,32.0,32.49,2742600.0,35.057,25.53205817972085,-9143800.0
1999-11-24,32.99,33.74,32.8,33.74,2156800.0,35.057,37.18810316791104,-6987000.0
1999-11-26,33.86,33.86,32.74,32.87,704900.0,35.057,33.28327569984157,-7691900.0
1999-11-29,32.93,34.05,32.31,33.74,2395900.0,35.057,40.061113570561794,-5296000.0
1999-11-30,33.49,34.05,33.11,33.49,1443300.0,34.8555,38.84004071464877,-6739300.0
1999-12-01,33.24,33.49,32.8,32.87,1127600.0,34.6325,35.91625231889165,-7866900.0
1999-12-02,33.74,33.92,33.18,33.67,1869400.0,34.533,41.98487928687266,-5997500.0
1999-12-03,33.98,34.48,33.24,33.43,1921100.0,34.4215,40.73849083793994,-7918600.0
1999-12-06,33.74,33.86,33.18,33.43,1757900.0,34.3565,40.73849083793994,-7918600.0
1999-12-07,33.24,33.3,30.76,31.5,3812600.0,34.155,31.904962937151225,-11731200.0
1999-12-08,30.9,31.47,30.16,31.03,3536300.0,33.967,30.18826967769671,-15267500.0
1999-12-09,31.53,32.21,30.78,31.78,1881500.0,33.832,36.09711986134244,-13386000.0
1999-12-10,31.53,31.59,30.16,30.78,1389300.0,33.641000000000005,32.18548703793681,-14775300.0
1999-12-13,30.16,31.22,29.53,30.9,5055500.0,33.403,33.12204454068369,-9719800.0
1999-12-14,30.78,31.4,29.91,30.47,2859000.0,33.159000000000006,31.44613355502169,-12578800.0
1999-12-15,30.28,30.59,29.66,29.91,5018200.0,32.8435,29.36245630860548,-17597000.0
1999-12-16,29.78,29.91,28.35,28.91,6506100.0,32.5155,26.04378695309829,-24103100.0
1999-12-17,29.35,29.72,28.85,28.97,4309200.0,32.178,26.57998104894196,-19793900.0
1999-12-20,29.04,29.28,28.35,28.82,3247300.0,31.836,26.071082607892706,-23041200.0
1999-12-21,28.91,29.1,28.47,28.47,2711300.0,31.5635,24.87436961696501,-25752500.0
1999-12-22,28.79,28.97,27.91,27.98,2183300.0,31.338,23.264338162092727,-27935800.0
1999-12-23,28.23,30.53,28.1,30.16,3161000.0,31.159,41.42844758216593,-24774800.0
1999-12-27,30.09,31.03,29.91,29.97,2037900.0,31.014,40.52800934410895,-26812700.0
1999-12-28,30.41,31.78,30.41,31.03,1783400.0,30.878500000000003,47.39713717067442,-25029300.0
1999-12-29,30.9,31.28,30.53,30.84,984000.0,30.746,46.36343099954794,-26013300.0
1999-12-30,30.59,31.03,30.16,30.66,1749300.0,30.6355,45.35425565957283,-27762600.0
1999-12-31,29.85,31.28,29.85,30.47,1058700.0,30.4755,44.25914043481473,-28821300.0
2000-01-03,31.0,31.81,30.63,31.0,2366700.0,30.354,48.028875576007664,-26454600.0
2000-01-04,29.5,31.38,29.5,30.31,3364600.0,30.198,43.86924080715363,-29819200.0
2000-01-05,30.5,32.25,30.5,32.0,2731700.0,30.223000000000003,54.30734194154716,-27087500.0
2000-01-06,32.19,33.13,32.19,32.88,8654600.0,30.315500000000004,58.62221905056625,-18432900.0
2000-01-07,33.0,33.94,33.0,33.75,2319500.0,30.414,62.40232728715005,-16113400.0
2000-01-10,33.88,34.38,33.06,33.13,1683300.0,30.5315,58.31381230102976,-17796700.0
2000-01-11,33.0,33.13,32.44,32.75,1411600.0,30.624,55.89653601044333,-19208300.0
2000-01-12,33.0,33.31,31.69,32.31,3164000.0,30.716,53.14923865093383,-22372300.0
2000-01-13,32.5,33.56,32.5,33.06,2522400.0,30.8735,57.02641561243866,-19849900.0
2000-01-14,33.75,35.0,33.69,34.94,3368000.0,31.175,64.8736003687475,-16481900.0
2000-01-18,35.81,36.75,35.19,36.56,2556000.0,31.5545,69.9634424147703,-13925900.0
2000-01-19,36.44,36.44,35.69,35.81,2138900.0,31.904,65.24955552975123,-16064800.0
2000-01-20,35.81,38.25,35.81,38.0,2515400.0,32.3805,71.32501030401136,-13549400.0
2000-01-21,40.5,40.75,38.56,39.19,4951000.0,32.941,73.986388577861,-8598400.0
2000-01-24,40.0,40.0,37.13,37.56,2783200.0,33.31099999999999,65.07685047878877,-11381600.0
2000-01-25,37.56,37.56,36.5,37.0,2112800.0,33.6625,62.30107700837548,-13494400.0
