date,Open,High,Low,Close,Volume,SMA,RSI,OBV
1999-11-01,34.62,34.81,34.0,34.19,43800.0,34.244,100.0,65100.0
1999-11-02,34.19,34.5,34.19,34.31,65100.0,34.244,100.0,65100.0
1999-11-03,34.38,34.5,33.06,33.88,57200.0,34.244,20.580474934037568,7900.0
1999-11-04,33.94,34.0,33.5,34.0,15900.0,34.244,35.883991479600354,23800.0
1999-11-05,33.94,33.94,33.81,33.94,6300.0,34.244,32.51076269541289,17500.0
1999-11-08,33.88,33.88,33.56,33.56,21500.0,34.244,19.8097014066597,-4000.0
1999-11-09,33.56,33.69,33.56,33.69,6200.0,34.244,29.899416958047112,2200.0
1999-11-10,33.56,33.81,33.5,33.5,21400.0,34.244,24.956952293536162,-19200.0
1999-11-11,33.5,33.81,33.5,33.75,13000.0,34.244,39.19874042988547,-6200.0
1999-11-12,33.81,33.81,33.75,33.81,1300.0,34.244,42.04166840781026,-4900.0
1999-11-15,33.75,33.75,33.56,33.62,3900.0,34.244,36.259828518208785,-8800.0
1999-11-16,33.75,33.91,33.75,33.81,7400.0,34.244,44.48229821550715,-1400.0
1999-11-17,33.94,33.94,33.88,33.88,1800.0,34.244,47.18545786270864,400.0
1999-11-18,33.62,34.69,33.62,34.69,16000.0,34.244,67.12964306042802,16400.0
1999-11-19,34.69,35.25,34.69,34.75,10400.0,34.244,68.09087585154863,26800.0
1999-11-22,34.81,35.0,34.81,35.0,2300.0,34.244,71.79227303782154,29100.0
1999-11-23,35.0,35.0,34.81,34.88,6000.0,34.244,67.73098211422172,23100.0
1999-11-24,34.81,35.38,34.75,35.31,6500.0,34.244,73.51312709788384,29600.0
1999-11-26,35.31,35.31,35.31,35.31,0.0,34.244,73.51312709788384,29600.0
1999-11-29,35.31,35.38,35.0,35.0,5000.0,34.244,63.93454140829254,24600.0
1999-11-30,34.94,34.94,34.94,34.94,3600.0,34.28150000000001,62.24406664907262,21000.0
1999-12-01,34.94,34.94,34.75,34.81,7600.0,34.3065,58.627069959767994,13400.0
1999-12-02,34.88,34.88,34.88,34.88,2200.0,34.3565,59.97576140290342,15600.0
1999-12-03,34.88,35.0,34.88,34.94,3500.0,34.4035,61.144942468096396,19100.0
1999-12-06,35.0,35.0,34.44,34.44,11300.0,34.4285,48.44478363511274,7800.0
1999-12-07,34.44,34.5,34.19,34.19,4700.0,34.46,43.57166024632479,3100.0
1999-12-08,34.19,34.38,34.19,34.25,4500.0,34.488,45.00156350512547,7600.0
1999-12-09,34.19,34.19,33.94,33.94,5500.0,34.51,39.44062268710523,2100.0
1999-12-10,33.94,34.0,33.56,33.62,14000.0,34.503499999999995,34.67702120080081,-11900.0
1999-12-13,33.5,33.5,33.38,33.5,7300.0,34.488,33.064272921092936,-19200.0
1999-12-14,33.5,33.5,33.31,33.31,5600.0,34.472500000000004,30.634878634671068,-24800.0
1999-12-15,33.25,33.38,33.0,33.0,6500.0,34.432,27.13208198500837,-31300.0
1999-12-16,33.0,33.0,32.5,32.5,14800.0,34.363,22.636369492520373,-46100.0
1999-12-17,32.25,32.31,32.19,32.19,10600.0,34.238,20.38146954667097,-56700.0
1999-12-20,32.19,32.5,32.12,32.12,6300.0,34.1065,19.89943054322208,-63000.0
1999-12-21,32.0,32.0,31.88,31.88,2000.0,33.9505,18.30125174234111,-65000.0
1999-12-22,31.94,32.0,31.69,31.81,6900.0,33.797000000000004,17.85093593701602,-71900.0
1999-12-23,31.94,31.94,31.88,31.94,2200.0,33.628499999999995,21.70399777060568,-69700.0
1999-12-27,31.94,31.94,31.44,31.44,9700.0,33.435,18.173382048821892,-79400.0
1999-12-28,31.38,32.12,31.19,31.19,28200.0,33.2445,16.709739327665787,-107600.0
1999-12-29,31.06,31.06,30.94,31.0,4200.0,33.0475,15.676397825090632,-111800.0
1999-12-30,31.0,31.0,30.88,30.88,3200.0,32.851,15.043637296703821,-115000.0
1999-12-31,30.88,30.94,30.88,30.94,1800.0,32.654,16.85083507286089,-113200.0
2000-01-03,30.88,30.88,30.25,30.25,7300.0,32.4195,13.337198033910227,-120500.0
2000-01-04,30.75,30.75,30.38,30.56,138900.0,32.2255,21.27907149273949,18400.0
2000-01-05,30.62,30.69,30.25,30.44,55600.0,32.038,20.496065697164624,-37200.0
2000-01-06,30.5,30.62,30.0,30.12,24400.0,31.8315,18.537178815582763,-61600.0
2000-01-07,30.12,30.62,30.12,30.44,21600.0,31.6565,26.139334402874567,-40000.0
2000-01-10,30.5,31.19,30.5,31.06,23100.0,31.5285,38.17726687698337,-16900.0
2000-01-11,30.94,31.0,30.19,30.19,11700.0,31.363,30.632673551389928,-28600.0
2000-01-12,30.06,30.38,30.06,30.38,29200.0,31.216499999999996,33.713553466756665,600.0
2000-01-13,30.38,31.0,30.38,30.88,17400.0,31.110499999999995,41.12422460816038,18000.0
2000-01-14,30.56,30.56,30.12,30.31,37400.0,31.000999999999998,36.16101165199574,-19400.0
2000-01-18,30.38,30.5,30.31,30.44,26000.0,30.9135,37.998894400580134,6600.0
2000-01-19,30.19,30.5,30.19,30.5,61200.0,30.8325,38.873582722686955,67800.0
2000-01-20,30.38,30.44,30.25,30.38,23400.0,30.7575,37.727216611283254,44400.0
2000-01-21,30.38,30.56,30.38,30.5,36000.0,30.691999999999997,39.644003707636024,80400.0
2000-01-24,30.44,30.62,30.38,30.38,28600.0,30.613999999999997,38.372038720574785,51800.0
2000-01-25,30.31,31.69,30.31,31.69,76900.0,30.6265,55.251282191978476,128700.0
2000-01-26,31.69,31.69,31.56,31.62,1300.0,30.648000000000003,54.393973183713996,127400.0
2000-01-27,31.56,31.56,30.88,30.88,9400.0,30.642000000000003,46.22783149734706,118000.0
2000-01-28,30.81,31.38,30.81,31.06,73600.0,30.651,48.26251520947734,191600.0
2000-01-31,31.06,31.12,30.62,30.94,45300.0,30.651,46.986070785261255,146300.0
2000-02-01,31.0,31.19,30.94,31.19,58400.0,30.697999999999997,49.95562123235841,204700.0
2000-02-02,31.19,31.19,30.5,30.56,5100.0,30.698,43.36369657785395,199600.0
2000-02-03,30.62,30.62,30.0,30.0,15800.0,30.676,38.500454500173404,183800.0
2000-02-04,29.88,29.88,29.81,29.81,3700.0,30.660499999999995,36.98489081893707,180100.0
2000-02-07,29.81,30.75,29.81,30.75,24300.0,30.676,47.909913506430414,204400.0
2000-02-08,30.88,31.62,30.88,31.44,29600.0,30.695,54.18845175618719,234000.0
2000-02-09,31.44,31.5,31.38,31.38,3100.0,30.7545,53.58363683687836,230900.0
2000-02-10,31.31,31.88,31.25,31.69,54000.0,30.82,56.297671892960665,284900.0
2000-02-11,31.5,31.5,31.0,31.0,25400.0,30.826,49.37709973797851,259500.0
2000-02-14,31.0,31.56,30.75,31.56,87500.0,30.8885,54.288452297834304,347000.0
2000-02-15,23.0,29.12,23.0,28.38,388500.0,30.785500000000003,34.07286049943727,-41500.0
2000-02-16,28.25,28.25,28.0,28.0,9300.0,30.660500000000003,32.51474204347288,-50800.0
2000-02-17,28.31,29.12,28.25,29.12,30800.0,30.597500000000004,41.06852622143093,-20000.0
2000-02-18,29.0,29.0,28.56,28.56,8300.0,30.5005,38.44466905190915,-28300.0
2000-02-22,28.56,28.56,27.31,27.81,71000.0,30.372000000000003,35.20094901019688,-99300.0
2000-02-23,27.69,27.81,27.69,27.81,8300.0,30.177999999999997,35.20094901019688,-99300.0
2000-02-24,27.81,27.81,25.94,26.62,37400.0,29.927999999999997,30.470127396854252,-136700.0
2000-02-25,26.56,26.62,25.88,26.62,33600.0,29.714999999999996,30.470127396854252,-136700.0
2000-02-28,26.62,27.75,26.38,27.5,26500.0,29.537,37.65603601400142,-110200.0
2000-02-29,27.5,29.44,27.5,29.44,46900.0,29.462,49.93923481966966,-63300.0
2000-03-01,29.44,30.5,29.0,29.06,20300.0,29.3555,47.94653956259221,-83600.0
2000-03-02,29.0,29.0,28.0,28.12,19800.0,29.2335,43.339596858826,-103400.0
2000-03-03,28.25,28.25,27.44,27.44,4800.0,29.1055,40.32133970595971,-108200.0
2000-03-06,27.38,27.88,27.06,27.81,12100.0,29.0055,42.661239020332125,-96100.0
2000-03-07,27.81,28.0,27.75,27.75,11100.0,28.8555,42.37111598177701,-107200.0
2000-03-08,27.75,27.88,27.0,27.56,28800.0,28.6615,41.410723817057345,-136000.0
